Model,Name,order,seasonal_order,K,fourier_period,t0,input,rmse1,rmse7,rmse30
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,30,30,0.8030475740649553,1.3175829085884692,1.840232850647022
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,228,30,0.6463211451118736,1.304231557262406,1.1896826996439456
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,231,30,1.2334081163028159,1.3173558208640694,1.6053209130743737
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,243,30,0.5133527113868885,1.1889064385486605,1.2311506916852788
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,244,30,0.6246474456254888,1.5846080156363562,1.265990148769273
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,249,30,0.45273969173743944,1.3146415592962306,2.340200060757749
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,307,30,0.6671749092098667,0.8449529871678846,2.4226502498233247
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,328,30,0.8170444834070762,1.0849930900117293,2.7248088929168017
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,343,30,1.2131011389588098,1.4054572623417623,1.4503197404966082
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,524,30,0.6840003314244772,1.1587387231115105,2.221105889619686
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,558,30,2.223879769045556,2.8654188162151195,3.945300196984381
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,560,30,0.7526184606425005,1.6707234986775823,1.994464437100607
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,575,30,1.3688214471137607,1.7175024234304872,1.6748704970500152
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,587,30,1.3904504631402923,1.4402547555933465,2.8464534705328615
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,616,30,0.8688192927013414,0.8833778909066768,1.664572699956959
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,663,30,0.6614748403450289,1.3068543152820016,2.2818322425987514
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,829,30,0.5445430011039217,0.7323930642180247,2.2425665953335536
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,889,30,0.6536977857567101,1.4262892341480742,3.357439512949927
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,919,30,0.5728851304997862,1.7525049340063665,2.8431946065464735
ARIMA,ARIMA_111,"(1, 1, 1)",None,,,949,30,1.7291838858040913,1.9925567339613437,1.8557323825602086
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,46,30,0.5115511438460493,0.7381115383127832,1.206983634516105
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,110,30,1.2103334427987757,1.4578020615277976,2.4708948630796566
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,132,30,0.5680066929987568,1.434349056620719,2.3575334414178566
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,134,30,1.2555005510690795,1.8449478605624674,2.503539083710753
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,141,30,0.8282324038248253,1.763654319472661,6.190147499475409
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,191,30,2.0238220805168945,1.8443490386499546,4.521047197561731
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,219,30,1.159675802322914,3.0112590740634673,4.43296702904459
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,221,30,2.9930520930856233,4.336648401480498,6.174336674780753
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,227,30,0.6529984482957785,1.8756841123219683,2.691172953813238
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,242,30,1.2059133791712509,1.224552571962132,1.7202065591261158
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,492,30,0.7095106460241507,1.118461729197676,3.1987797802947604
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,542,30,1.8071177780164531,2.6295350423434827,6.390115272227741
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,563,30,1.6703142925612202,3.563001488594424,8.817808893000954
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,671,30,0.6201165879598654,1.124256360854247,1.6251380226357253
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,697,30,0.7990722914472488,0.9453538545483843,1.28958578359856
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,750,30,0.6421561856416719,0.8527274446142752,1.1854608571262804
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,837,30,0.4347065138322642,1.5784179953305053,2.5916302141491214
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,889,30,1.0821639103962055,1.1615205845012027,2.867878183733992
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,933,30,1.988056048703328,2.173214023600127,3.548016858876261
SARIMA,SARIMA_m7_100_010,"(1, 0, 0)","(0, 1, 0, 7)",,,974,30,0.7100666185804395,1.9325285327242212,2.1528385384585604
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,92,30,1.1312602936994034e+16,6.750307342309404e+19,3.738833042666882e+35
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,156,30,3.4205033334819445e+22,2.8208400764914215e+27,3.85414672315968e+47
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,228,30,3.222309644610335e+23,1.321072579134509e+29,8.552824601581776e+51
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,385,30,1.2415475146039607,3.8341728800210566,41.65326406000077
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,404,30,87943132206862.53,1.543316433530512e+17,7.857618368744167e+30
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,409,30,53795433.310839534,2563635374.6065683,3.3035189238276908e+16
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,428,30,916204656483252.6,2.614402872094103e+18,8.386310684686928e+32
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,440,30,25096297288060.2,4.080277930662645e+16,1.485888437035026e+30
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,458,30,5.342839859528929e+23,3.5944320910585906e+29,1.558138850908979e+53
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,616,30,8.042686963630237e+16,3.983911182833168e+20,1.075324324423133e+36
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,662,30,1001228947.7442573,68662197825.422554,4.3040557083225595e+18
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,673,30,595474907685296.5,1.5246198025414223e+18,3.2095132327243214e+32
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,815,30,335052.06659895956,3593053.3637485835,96341842900644.0
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,837,30,4.420430934430928e+21,8.250905452959428e+26,2.601849742803004e+48
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,843,30,4.239024222738802e+34,2.864129521761854e+43,4.049038846251469e+78
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,871,30,9.587468230819752e+18,1.1221006542339267e+23,8.355269377069897e+39
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,923,30,34673258766.364,1255115295864.7212,1.353041690553905e+19
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,933,30,121.52070915341305,80.05585017749405,204.185410621357
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,969,30,3.0794907873016547e+24,9.697702750324245e+29,2.279890319867233e+52
SARIMA,SARIMA_m7_111_011,"(1, 1, 1)","(0, 1, 1, 7)",,,999,30,1.1419052158799097,1.8321336568247577,2.4515900738344256
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,226,30,0.9793888288802717,1.3325843866532572,1.6531253868240805
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,254,30,0.7754922923011478,1.1388461780119168,3.081675841524854
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,298,30,0.6005025272356798,0.6634617748393994,1.7023341563144303
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,299,30,0.44299835382196995,0.6179777474911636,1.7654068775594616
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,327,30,0.4527547777365631,1.0748789614771541,2.6618102901216205
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,340,30,0.5239105070519933,0.7091547717343957,3.2303647049243835
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,390,30,0.8251300633390186,1.1727801577255443,2.6585212628697783
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,523,30,0.8209425387545366,0.7307967165960795,1.5325765226791999
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,545,30,2.020498429034263,3.393220684094652,10.472138341875379
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,549,30,0.8892617774323883,1.733175307673132,7.553094512075916
SARIMAX_FOURIER,SARIMAX_Fourier_K1,"(1, 0, 0)",None,1.0,365.0,641,30,0.8442958140447221,1.041784554353567,1.7179978765582358
