Model,Hyperparameter,t0,input,rmse1,rmse7,rmse30
ARIMA,"ARIMA(0, 0, 3)",370,30,3.278300632,11.04922942,11.25688405
ARIMA,"ARIMA(0, 0, 3)",380,30,2.339803249,10.24360534,10.24378793
ARIMA,"ARIMA(0, 0, 3)",383,30,2.51207393,9.617700883,9.920420742
ARIMA,"ARIMA(0, 0, 3)",385,30,2.27275751,9.516600188,9.787599709
ARIMA,"ARIMA(0, 0, 3)",390,30,2.207683834,9.361875882,9.521268742
ARIMA,"ARIMA(0, 0, 3)",396,30,2.277484281,8.651024589,9.353071769
ARIMA,"ARIMA(0, 0, 3)",397,30,2.284166433,8.586255628,9.34372249
ARIMA,"ARIMA(0, 0, 3)",415,30,2.672499222,8.590992858,9.777752854
ARIMA,"ARIMA(0, 0, 3)",422,30,2.220404587,8.680165249,10.25124058
ARIMA,"ARIMA(0, 0, 3)",424,30,2.898216807,8.6578635,10.43007938
ARIMA,"ARIMA(0, 0, 3)",438,30,2.607985552,8.973190364,11.63675339
ARIMA,"ARIMA(0, 0, 3)",440,30,2.34984825,9.179466799,11.78674213
ARIMA,"ARIMA(0, 0, 3)",449,30,2.913704123,10.96249541,12.72901252
ARIMA,"ARIMA(0, 0, 3)",458,30,2.466426872,10.53826722,13.35794256
ARIMA,"ARIMA(0, 0, 3)",459,30,1.420176929,10.54888352,13.42427236
ARIMA,"ARIMA(0, 0, 3)",461,30,2.918319624,11.05507683,13.63377483
ARIMA,"ARIMA(0, 0, 3)",465,30,2.48252204,11.45711347,13.90349499
ARIMA,"ARIMA(0, 0, 3)",468,30,2.647338479,12.5475909,14.21538294
ARIMA,"ARIMA(0, 0, 3)",469,30,3.285349337,12.60310229,14.29661237
ARIMA,"ARIMA(0, 0, 3)",471,30,3.168698709,12.3305137,14.39829495
ARIMA,"ARIMA(0, 0, 3)",477,30,3.357598096,12.9237957,14.79384464
ARIMA,"ARIMA(0, 0, 3)",481,30,4.537392389,12.93202554,15.18496201
ARIMA,"ARIMA(0, 0, 3)",482,30,1.361148122,12.09307224,15.12243239
ARIMA,"ARIMA(0, 0, 3)",483,30,4.205990251,12.97014067,15.4029995
ARIMA,"ARIMA(0, 0, 3)",492,30,3.896587182,13.51401377,16.77269059
ARIMA,"ARIMA(0, 0, 3)",494,30,2.916683906,13.7545123,17.00273268
ARIMA,"ARIMA(0, 0, 3)",496,30,2.940040001,13.43381827,17.1557328
ARIMA,"ARIMA(0, 0, 3)",498,30,2.765276209,13.6690957,17.44181767
ARIMA,"ARIMA(0, 0, 3)",499,30,5.216838864,14.21351733,17.63854671
ARIMA,"ARIMA(0, 0, 3)",505,30,3.950609444,15.02911313,18.41377505
ARIMA,"ARIMA(0, 0, 3)",507,30,4.043966244,15.67761654,18.75550042
ARIMA,"ARIMA(0, 0, 3)",517,30,5.37510664,16.68941427,19.02300507
ARIMA,"ARIMA(0, 0, 3)",522,30,3.34713194,16.24515811,19.17472613
ARIMA,"ARIMA(0, 0, 3)",536,30,4.702729236,17.16115431,21.50174595
ARIMA,"ARIMA(0, 0, 3)",538,30,6.342417731,16.2035227,21.89841523
ARIMA,"ARIMA(0, 0, 3)",542,30,2.94380022,16.48595312,23.03861945
ARIMA,"ARIMA(0, 0, 3)",544,30,2.989017189,17.08074496,23.45102893
ARIMA,"ARIMA(0, 0, 3)",554,30,5.042084151,21.67908702,25.93165702
ARIMA,"ARIMA(0, 0, 3)",559,30,8.056485675,22.83827365,26.5447903
ARIMA,"ARIMA(0, 0, 3)",563,30,4.997599645,22.7829188,26.48858172
ARIMA,"ARIMA(0, 0, 3)",572,30,2.343284507,23.95614736,26.24707419
