Model,Hyperparameter,t0,input,rmse1,rmse7,rmse30
ARIMA,"ARIMA(2, 1, 3)",729,30,0.6754105562281253,0.8483907094108155,1.3493099978518461
ARIMA,"ARIMA(2, 1, 3)",730,30,0.5766719110498196,0.8202686023069399,1.2862586299549847
ARIMA,"ARIMA(2, 1, 3)",733,30,0.544453564544037,0.8112864289556502,1.294448935154178
ARIMA,"ARIMA(2, 1, 3)",736,30,0.7409020846401966,0.5825965522992692,1.2415924358157628
ARIMA,"ARIMA(2, 1, 3)",743,30,0.3532900326169295,0.505812696109128,1.3553669497479108
ARIMA,"ARIMA(2, 1, 3)",749,30,0.3773762957052062,0.7992120554009029,1.244935340152584
ARIMA,"ARIMA(2, 1, 3)",755,30,0.7594801785590382,0.9153933515016383,1.1569513917408576
ARIMA,"ARIMA(2, 1, 3)",765,30,0.38677674713461885,0.5550567492952727,0.9577990527658631
ARIMA,"ARIMA(2, 1, 3)",775,30,0.5915452357571629,0.881993457560184,1.2967761412876246
ARIMA,"ARIMA(2, 1, 3)",778,30,0.6255434917885785,0.8917054338949649,1.1919653932832377
ARIMA,"ARIMA(2, 1, 3)",791,30,0.4405694219102941,0.643273049471052,1.0744860095842563
ARIMA,"ARIMA(2, 1, 3)",793,30,0.6650045349583783,0.676985149766251,1.111938804433379
ARIMA,"ARIMA(2, 1, 3)",794,30,0.44372945735935987,0.6112761260777838,1.093152273428436
ARIMA,"ARIMA(2, 1, 3)",801,30,0.5983194975163522,1.092083215885596,1.1661074694761446
ARIMA,"ARIMA(2, 1, 3)",802,30,0.6791915885762301,1.0803205059111618,1.1087484603663447
ARIMA,"ARIMA(2, 1, 3)",803,30,0.4638206615444782,1.2440454145753235,1.1990818696185603
ARIMA,"ARIMA(2, 1, 3)",820,30,0.39186529166070533,0.6004525417248585,1.483425085255629
ARIMA,"ARIMA(2, 1, 3)",839,30,1.4688753274452355,1.4593348537238529,2.6544914290049864
ARIMA,"ARIMA(2, 1, 3)",847,30,0.5120527516147824,1.3176861244701057,2.4005981811350114
ARIMA,"ARIMA(2, 1, 3)",854,30,0.8976210481616731,1.1671941111782287,1.9223434603644678
ARIMA,"ARIMA(2, 1, 3)",856,30,0.45267555894304534,1.9609426872537903,2.331920395955777
ARIMA,"ARIMA(2, 1, 3)",860,30,1.4119195409236447,1.2701546528743066,1.4091090700468911
ARIMA,"ARIMA(2, 1, 3)",863,30,0.5526234637850339,1.0566584957149896,1.3654934818330084
ARIMA,"ARIMA(2, 1, 3)",880,30,0.5460350209866179,1.2800563493286101,3.141428564774114
ARIMA,"ARIMA(2, 1, 3)",890,30,0.7760609131689863,1.676603204775057,3.349593583232125
ARIMA,"ARIMA(2, 1, 3)",903,30,1.279627252542267,1.5505964804830803,2.462791241044317
ARIMA,"ARIMA(2, 1, 3)",908,30,0.6862690033688953,1.455297866807282,1.665329198554893
ARIMA,"ARIMA(2, 1, 3)",917,30,0.5358537510428374,0.9946022770270649,2.374312970155844
ARIMA,"ARIMA(2, 1, 3)",920,30,0.6637145787899615,1.710516912050036,2.8421321898460614
ARIMA,"ARIMA(2, 1, 3)",934,30,1.7520262678927736,1.6179194990380685,10.471724813271424
ARIMA,"ARIMA(2, 1, 3)",946,30,3.9247739681021994,2.3888309589823704,2.105186403939131
ARIMA,"ARIMA(2, 1, 3)",964,30,0.606302173690639,0.8813730913018326,2.0078178019212864
ARIMA,"ARIMA(2, 1, 3)",976,30,0.8200008191690359,2.1275541406118204,2.2142986483816585
ARIMA,"ARIMA(2, 1, 3)",981,30,1.673867086332728,2.4181951484593527,17.313295913242293
ARIMA,"ARIMA(2, 1, 3)",983,30,1.341028806451148,1.7322160197548302,8.583287620281792
ARIMA,"ARIMA(2, 1, 3)",1011,30,0.624998783249962,0.8636558669556238,1.7581368341756098
ARIMA,"ARIMA(2, 1, 3)",1013,30,0.9430384161910066,1.0297257992615532,1.9743587746119955
ARIMA,"ARIMA(2, 1, 3)",1025,30,0.8159324252240117,1.1719850183326757,2.4684361230942966
ARIMA,"ARIMA(2, 1, 3)",1027,30,0.6126324928187297,1.1037634126458202,2.3941320564240547
ARIMA,"ARIMA(2, 1, 3)",1066,30,0.7193424880186905,0.8265083013484575,1.601136242928024
