Model,Hyperparameter,t0,input,rmse1,rmse7,rmse30
ARIMA,"ARIMA(2, 1, 3)",157,30,0.9194422480458886,1.245592390063337,3.4034359685386573
ARIMA,"ARIMA(2, 1, 3)",166,30,0.7965418235069712,2.008020674297943,2.9674968210357497
ARIMA,"ARIMA(2, 1, 3)",199,30,0.9383664795950158,1.6421033712657798,2.9114562622674347
ARIMA,"ARIMA(2, 1, 3)",205,30,1.7717461552845277,1.5651762638150821,12.117339078082452
ARIMA,"ARIMA(2, 1, 3)",214,30,1.969648576572907,2.173767371686838,2.4355022724387125
ARIMA,"ARIMA(2, 1, 3)",216,30,1.9356879589427605,2.40401324484407,2.466908386320127
ARIMA,"ARIMA(2, 1, 3)",284,30,1.055225342176673,1.1679181034093475,2.081767844229267
ARIMA,"ARIMA(2, 1, 3)",361,30,0.7981622068365973,0.8580445243446984,1.7063649830867669
ARIMA,"ARIMA(2, 1, 3)",392,30,0.5941123161011206,0.7932755641187137,1.322885478868733
ARIMA,"ARIMA(2, 1, 3)",427,30,0.8939961812294417,1.0450721607359665,1.3182983466952305
ARIMA,"ARIMA(2, 1, 3)",483,30,1.07394314267949,2.41870146070666,2.8478772020212735
ARIMA,"ARIMA(2, 1, 3)",584,30,1.672983374869158,2.299818691947682,7.735118795724067
ARIMA,"ARIMA(2, 1, 3)",742,30,1.2632086097127286,1.2905688682628826,1.0364593568907354
ARIMA,"ARIMA(2, 1, 3)",766,30,0.6520071317252804,0.6358130995900347,0.6621662491832168
ARIMA,"ARIMA(2, 1, 3)",831,30,0.5113093610918917,0.6655038073731435,0.8546044084231155
ARIMA,"ARIMA(2, 1, 3)",883,30,0.5058507103253792,1.0670606462481884,3.128486742528431
ARIMA,"ARIMA(2, 1, 3)",894,30,0.7649071652054966,1.2084949075916478,3.021434030209445
ARIMA,"ARIMA(2, 1, 3)",914,30,0.6160278955835722,1.2296723334127393,3.8107605487365155
ARIMA,"ARIMA(2, 1, 3)",924,30,1.9537267016891453,2.5502635476581634,3.2298125050633297
ARIMA,"ARIMA(2, 1, 3)",926,30,0.5726350738333701,1.0620558638085535,1.8331458265120035
ARIMA,"ARIMA(2, 1, 3)",929,30,0.9287676254340398,1.0975456908025965,1.998628511695436
ARIMA,"ARIMA(2, 1, 3)",1023,30,0.6982803372799019,0.8506144130588786,2.4872911823212225
ARIMA,"ARIMA(2, 1, 3)",1047,30,0.8430835475529822,1.7043722795702885,18.54249378243349
ARIMA,"ARIMA(2, 1, 3)",1070,30,0.5012342520290773,0.7884245573231496,1.5585709709114501
ARIMA,"ARIMA(2, 1, 3)",1117,30,0.5446857361792692,1.104123216024312,2.0111664726076897
ARIMA,"ARIMA(2, 1, 3)",1138,30,0.4380058303356116,0.9268399978417485,1.2357458703357669
ARIMA,"ARIMA(2, 1, 3)",1296,30,1.2130095361433613,1.3899075659966722,1.658658288529707
ARIMA,"ARIMA(2, 1, 3)",1311,30,1.483954006892138,1.663836288574637,1.5993066086776742
ARIMA,"ARIMA(2, 1, 3)",1318,30,1.1294159102645303,1.5495345554886761,1.8753944664831426
ARIMA,"ARIMA(2, 1, 3)",1395,30,0.6814702138875787,0.6767497841710876,1.377534587881183
ARIMA,"ARIMA(2, 1, 3)",1405,30,0.4327259688134337,0.768539789474888,1.89899234877008
ARIMA,"ARIMA(2, 1, 3)",1436,30,0.8128629353354437,0.9266906835168813,4.947255832113175
ARIMA,"ARIMA(2, 1, 3)",1450,30,0.6523116886462575,1.3670683555434444,2.184309447896409
ARIMA,"ARIMA(2, 1, 3)",1485,30,0.7550099307213218,1.2381999069830927,1.3373431084430167
ARIMA,"ARIMA(2, 1, 3)",1536,30,0.7057287837450953,1.0912057827738075,1.8255739206897512
ARIMA,"ARIMA(2, 1, 3)",1551,30,0.5967873957386155,1.0115676391768031,0.9728128958236179
ARIMA,"ARIMA(2, 1, 3)",1552,30,0.45894015061734234,0.9831832331628941,0.9829725994477043
ARIMA,"ARIMA(2, 1, 3)",1585,30,0.4577012292080578,0.7388676890508177,2.5177005165000117
ARIMA,"ARIMA(2, 1, 3)",1587,30,0.7226911451798714,0.8011467875312268,2.8805071636806616
ARIMA,"ARIMA(2, 1, 3)",1598,30,0.7457264194157818,0.8675765637392353,3.649796794737397
ARIMA,"ARIMA(2, 1, 3)",1669,30,2.8081434566970125,3.417266542020671,3.63076964762121
ARIMA,"ARIMA(2, 1, 3)",1687,30,0.8295751732536271,0.9195029889884703,1.3481923770446287
ARIMA,"ARIMA(2, 1, 3)",1696,30,0.6882906904133251,1.1710388753962413,1.420342127872121
ARIMA,"ARIMA(2, 1, 3)",1722,30,0.6462775034125704,1.8314934942884438,3.093263669571581
ARIMA,"ARIMA(2, 1, 3)",1748,30,0.5543095085190065,1.6884578946798936,3.4242600481572114
ARIMA,"ARIMA(2, 1, 3)",1805,30,0.5316569879365989,1.1414371785327155,2.739037935425497
ARIMA,"ARIMA(2, 1, 3)",1827,30,0.3566199670536785,0.8164665382153797,1.7294511748140133
ARIMA,"ARIMA(2, 1, 3)",1873,30,0.6048911707470546,1.16928893618366,1.003322792209936
ARIMA,"ARIMA(2, 1, 3)",1958,30,0.7194084079936235,0.9240613492689121,2.406301953380825
ARIMA,"ARIMA(2, 1, 3)",1982,30,1.27894945095911,1.754383367880354,2.511867606025337
